Hole Depth (feet),Bit Depth (feet),Rate Of Penetration (ft_per_hr),Weight on Bit (klbs),Rotary RPM (RPM),Standpipe Pressure (psi),Total Pump Output (gal_per_min),Differential Pressure (psi),Convertible Torque (kft_lb),Inclination (degrees),Azimuth (degrees),Gamma at Bit (api),Hook Load (klbs),Block Height (feet),Magnetic Toolface (degrees),Gravity Toolface (degrees),Rig Super State (unitless),Rig Sub State (unitless),RSS STEERING % (percent),RSS PRG STEERING % (percent),AutoDriller WOB SP (klbs),AutoDriller Diff Press SP (psi),AutoDriller On Bottom ROP Setpoint (ft_per_hr),YYYY/MM/DD,HH:MM:SS
12603,12603,336.17,30.6,110.47,4941.01,331.15,1079.27,15.237,89.89,167.12,101.89,141.9,35.5,231.61,-112.5,1,1,6,66,30,1200,500,9/19/2024,3:42:44
12604,12604,331.78,30.6,110.47,4972.27,331.15,1091.01,14.154,89.89,167.12,93.19,142,34.5,231.61,-112.5,1,1,6,66,30,1200,500,9/19/2024,3:42:54
12605,12605,332.02,30.4,110.33,4959.76,331.82,1090.99,14.004,89.89,167.12,93.19,142.4,33.6,231.61,-112.5,1,1,6,69,30,1200,500,9/19/2024,3:43:05
12606,12606,334.65,32,110.53,4978.52,331.15,1088.21,13.78,89.89,167.12,93.19,142.1,32.5,231.61,-112.5,1,1,6,69,30,1200,500,9/19/2024,3:43:17
12607,12607,331.28,32.9,110.61,4999.76,331.15,1090.96,13.817,89.89,167.12,93.19,142.1,31.6,231.61,-112.5,1,1,6,69,30,1200,500,9/19/2024,3:43:32
12608,12608,268.5,30.3,110.79,4917.25,331.82,1055.86,13.033,89.89,167.12,93.19,142.6,30.5,231.61,-112.5,1,1,6,69,30,1200,500,9/19/2024,3:43:43
12609,12609,311.06,30.6,110.61,4889.75,331.15,1013.3,13.481,89.89,167.12,92.72,144.1,29.5,231.61,-112.5,1,1,6,69,30,1200,500,9/19/2024,3:43:54
12610,12610,341.87,30,110.27,4934.76,330.49,1027.27,14.079,89.89,167.12,92.72,142.5,28.5,231.61,-112.5,1,1,6,69,30,1200,500,9/19/2024,3:44:04
12611,12611,352.92,30,110.7,4926.01,331.81,1052.22,13.631,89.89,167.12,92.72,141.9,27.5,231.61,-112.5,1,1,6,69,30,1200,500,9/19/2024,3:44:15
12612,12612,347.99,30,110.61,4941.01,331.82,1070.02,14.266,89.89,167.12,92.72,141.9,26.5,231.61,-112.5,1,1,6,69,30,1200,500,9/19/2024,3:44:26
12613,12613,334.11,30.3,110.61,4964.77,331.15,1087.14,13.631,89.89,167.12,92.72,141.9,25.5,231.61,-112.5,1,1,6,34,30,1200,500,9/19/2024,3:44:36
12614,12614,332.66,30.6,110.47,4971,331.15,1083.86,13.967,89.89,167.12,92.72,142.2,24.5,231.61,-112.5,1,1,6,34,30,1200,500,9/19/2024,3:44:47
12615,12615,328.97,30.1,110.53,4946.01,331.15,1080.65,14.452,89.89,167.12,96.3,141.8,23.5,231.61,-112.5,1,1,6,34,30,1200,500,9/19/2024,3:44:58
12616,12616,331.92,30.3,110.59,4968.51,331.82,1097.83,13.593,89.89,167.12,96.3,142.5,22.5,231.61,-112.5,1,1,6,34,30,1200,500,9/19/2024,3:45:09
12617,12617,331.64,30.3,110.79,4981.01,331.15,1099.22,13.407,89.89,167.12,96.3,141.9,21.5,231.61,-112.5,1,1,6,34,30,1200,500,9/19/2024,3:45:20
12618,12618,330.03,30.3,110.44,4951,331.15,1078.57,14.228,89.89,167.12,96.3,141.9,20.5,231.61,-112.5,1,1,6,34,30,1200,500,9/19/2024,3:45:31
12619,12619,329.71,30.3,110.73,4976.01,331.15,1077.32,13.556,89.89,167.12,96.3,141.8,19.5,231.61,-112.5,1,1,6,34,30,1200,500,9/19/2024,3:45:42
12620,12620,328.32,30.3,110.41,4936.01,331.15,1068.71,13.855,89.89,167.12,96.3,141.7,18.6,231.61,-112.5,1,1,6,34,30,1200,500,9/19/2024,3:45:53
12621,12621,328.32,30.1,110.47,4987.26,331.82,1079.17,13.444,89.89,167.12,96.3,141.9,17.5,231.61,-112.5,1,1,6,32,30,1200,500,9/19/2024,3:46:04
12622,12622,334.6,30.2,110.44,4972.27,331.15,1079.92,13.78,89.89,167.12,96.3,142,16.5,231.61,-112.5,1,1,6,32,30,1200,500,9/19/2024,3:46:14
12623,12623,340,30.3,110.64,4971,331.15,1086.36,13.855,89.89,167.12,75.14,142.1,15.6,231.61,-112.5,1,1,6,32,30,1200,500,9/19/2024,3:46:25
12624,12624,341.82,30.2,110.44,4993.51,331.15,1095.67,14.004,89.89,167.12,75.14,142.2,14.5,231.61,-112.5,1,1,6,32,30,1200,500,9/19/2024,3:46:35
12625,12625,342.62,30.3,110.33,4993.51,331.82,1103.69,14.042,89.89,167.12,75.14,142.2,13.5,231.61,-112.5,1,1,6,32,30,1200,500,9/19/2024,3:46:46
12626,12626,344.21,30.2,110.27,4999.76,331.15,1110.76,13.743,89.89,167.12,75.14,141.8,12.5,231.61,-112.5,1,1,6,32,30,1200,500,9/19/2024,3:46:56
12627,12627,344.54,30.3,110.39,5007.26,331.15,1110.96,14.266,89.89,167.12,75.14,141.7,11.5,231.61,-112.5,1,1,6,32,30,1200,500,9/19/2024,3:47:07
12628,12628,342.63,30.4,110.59,4982.26,331.82,1104.8,13.593,89.89,167.12,75.14,141.6,10.5,231.61,-112.5,1,1,6,32,30,1200,500,9/19/2024,3:47:18
12629,12629,337.38,30.7,110.56,4979.76,331.82,1099.83,13.817,89.89,167.12,87.82,141.5,9.5,231.61,-112.5,1,1,6,32,30,1200,500,9/19/2024,3:47:29
12630,12630,333.55,32.5,110.5,4988.51,330.49,1091.24,13.743,89.89,167.12,87.82,140.6,8.5,231.61,-112.5,1,1,6,32,30,1200,500,9/19/2024,3:47:42
12631,12631,113.35,26.5,58.21,3667.26,331.15,-183.57,9.672,89.89,167.12,87.82,153.6,101.6,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:50:33
12632,12632,251.45,28.7,110.5,3841.01,331.82,-5.39,14.378,89.89,167.12,87.82,146.2,100.6,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:50:39
12633,12633,452.15,31.9,110.21,4351.01,331.81,483.91,14.826,89.89,167.12,87.82,144.2,99.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:50:50
12634,12634,454.54,31.4,110.59,4719.75,331.82,851.4,14.751,89.89,167.12,87.82,145.3,98.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:51:06
12635,12635,262.2,28.3,110.61,4792.26,331.15,924.23,13.519,89.89,167.12,87.82,147,97.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:51:19
12636,12636,281.17,28.1,110.7,4823.51,331.82,946.05,13.743,89.89,167.12,87.82,146.1,96.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:51:31
12637,12637,298.31,28.5,110.44,4821.01,331.82,965.79,13.071,89.89,167.12,87.82,146.1,95.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:51:43
12638,12638,303.44,30.9,110.33,4841.01,331.15,964.75,13.257,89.89,167.12,87.82,144.9,94.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:51:57
12639,12639,295.87,30.2,110.7,4833.51,331.15,959.97,13.183,89.89,167.12,87.82,145.1,93.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:52:10
12640,12640,275.69,30.1,110.84,4819.76,331.82,929.36,12.809,89.89,167.12,87.82,144.7,92.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:52:23
12641,12641,299.46,29.3,110.61,4792.26,331.15,923.65,13.145,89.89,167.12,87.82,146.5,91.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:52:34
12642,12642,331.35,29.6,110.5,4856,330.49,957.77,13.369,89.89,167.12,87.82,144.7,90.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:52:45
12643,12643,331.72,29.8,110.59,4861.01,331.82,1001.6,13.743,89.89,167.12,87.82,144.1,89.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:52:57
12644,12644,314.35,29.8,110.44,4909.75,331.82,1008.36,14.714,89.89,167.12,87.82,144.3,88.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:53:08
12645,12645,310.99,29.8,110.41,4886.01,330.49,1028.09,14.415,89.89,167.12,87.82,144,87.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:53:20
12646,12646,313.24,30.1,110.33,4891.02,331.82,1026.23,13.407,89.89,167.12,76,144.2,86.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:53:31
12647,12647,316.68,29.9,110.41,4946.01,332.48,1042.45,13.705,89.89,167.12,76,144.1,85.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:53:42
12648,12648,323.68,30,110.41,4918.51,331.15,1044.45,14.116,89.89,167.12,76,144,84.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:53:53
12649,12649,324.51,30.1,110.44,4942.26,331.15,1075.11,13.967,89.89,167.12,76,143.4,83.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:54:05
12650,12650,321.31,30.1,110.59,4982.26,331.82,1089.52,13.78,89.89,167.12,76,144,82.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:54:16
12651,12651,321.43,30.1,110.39,4978.52,331.15,1081.73,14.004,89.89,167.12,83.81,144.1,81.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:54:27
12652,12652,330.2,30.6,110.44,4977.25,331.15,1080.87,14.415,89.89,167.12,83.81,143.9,80.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:54:39
12653,12653,326.33,30.3,110.73,4963.51,331.15,1093.49,13.407,89.89,167.12,83.81,143.2,79.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:54:51
12654,12654,304.62,30.1,110.67,4979.76,331.82,1085.46,13.743,89.89,167.12,83.81,144.3,78.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:55:02
12655,12655,319.74,30.1,110.33,4959.76,331.15,1076.47,13.556,89.89,167.12,83.81,143.6,77.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:55:13
12656,12656,329.21,30.2,110.59,4954.76,331.15,1080.84,13.668,89.89,167.12,83.81,144.1,76.7,231.61,-112.5,1,1,6,68,30,1200,500,9/19/2024,3:55:24
12657,12657,329.07,30.4,110.53,4944.77,331.15,1079.37,13.631,89.89,167.12,83.81,143.7,75.7,231.61,-112.5,1,1,6,51,30,1200,500,9/19/2024,3:55:35
12658,12658,323.99,30.2,110.5,4968.51,330.49,1089.58,13.743,89.89,167.12,77.58,143.2,74.7,231.61,-112.5,1,1,6,51,30,1200,500,9/19/2024,3:55:46
12659,12659,322.26,30.4,110.44,5002.26,331.82,1104.53,13.78,89.89,167.12,77.58,143.7,73.7,231.61,-112.5,1,1,6,51,30,1200,500,9/19/2024,3:55:58
12660,12660,319.31,30.4,110.27,4974.76,331.15,1101.94,13.444,89.89,167.12,77.58,143.3,72.7,231.61,-112.5,1,1,6,51,30,1200,500,9/19/2024,3:56:09
12661,12661,311.65,30.4,110.64,4992.27,330.49,1091.18,13.817,89.89,167.12,77.58,143.2,71.7,231.61,-112.5,1,1,6,51,30,1200,500,9/19/2024,3:56:21
12662,12662,310.3,30.6,110.47,4969.76,331.15,1077.1,13.481,89.89,167.12,77.58,143.2,70.7,231.61,-112.5,1,1,6,51,30,1200,500,9/19/2024,3:56:33
12663,12663,308.45,30.4,110.5,4971,331.82,1077.11,13.705,89.89,167.12,77.58,143.3,69.7,231.61,-112.5,1,1,6,51,30,1200,500,9/19/2024,3:56:45
12664,12664,303.81,30.5,110.53,4963.51,330.49,1086.45,13.593,89.89,167.12,77.58,143.3,68.7,231.61,-112.5,1,1,6,51,30,1200,500,9/19/2024,3:56:57
12665,12665,309.75,30.3,110.47,4936.01,330.49,1076.15,13.967,89.89,167.12,77.58,143.5,67.7,231.61,-112.5,1,1,6,51,30,1200,500,9/19/2024,3:57:08
12666,12666,312.74,30.4,110.67,4964.77,331.82,1069.62,13.369,89.89,167.12,83.16,143.5,66.7,231.61,-112.5,1,1,6,51,30,1200,500,9/19/2024,3:57:20
12667,12667,310.5,30.4,110.59,4961.01,331.82,1066.83,13.631,89.89,167.12,83.16,143.7,65.7,231.61,-112.5,1,1,6,51,30,1200,500,9/19/2024,3:57:32
12668,12668,309.88,30.4,110.39,4936.01,331.15,1066.59,13.295,89.89,167.12,83.16,143.8,64.7,231.61,-112.5,1,1,6,63,30,1200,500,9/19/2024,3:57:43
12669,12669,311.22,32.5,110.39,4956.01,332.48,1058.15,13.78,89.89,167.12,83.16,143.1,63.7,231.61,-112.5,1,1,6,63,30,1200,500,9/19/2024,3:57:56
12670,12670,306.41,32.5,110.44,4938.52,330.49,1052.07,13.967,89.89,167.12,83.16,142.4,62.7,231.61,-112.5,1,1,6,63,30,1200,500,9/19/2024,3:58:11
12671,12671,257.73,30.7,110.33,4868.51,331.81,993.07,12.548,89.89,167.12,84.7,142.9,61.7,231.61,-112.5,1,1,6,63,30,1200,500,9/19/2024,3:58:25
12672,12672,273.89,30.6,110.5,4838.51,331.15,961.61,12.66,89.89,167.12,84.7,145.6,60.7,231.61,-112.5,1,1,6,63,30,1200,500,9/19/2024,3:58:36
12673,12673,320.75,30.4,110.3,4844.76,331.15,976.84,13.705,89.89,167.12,84.7,143.1,59.7,231.61,-112.5,1,1,6,52,30,1200,500,9/19/2024,3:58:47
12674,12674,329.15,30.3,110.53,4887.26,331.15,997.14,13.369,89.89,167.12,84.7,143.3,58.7,231.61,-112.5,1,1,6,52,30,1200,500,9/19/2024,3:58:59
12675,12675,318.12,30.2,110.67,4906.01,331.15,1023.43,14.004,89.89,167.12,79.58,143.1,57.7,231.61,-112.5,1,1,6,52,30,1200,500,9/19/2024,3:59:11
12676,12676,302.05,30.4,110.21,4919.76,331.82,1035.17,14.49,89.89,167.12,79.58,142.7,56.7,231.61,-112.5,1,1,6,52,30,1200,500,9/19/2024,3:59:23
12677,12677,301.72,30.2,110.61,4907.26,331.15,1037.25,13.033,89.89,167.12,79.58,142.7,55.7,231.61,-112.5,1,1,6,52,30,1200,500,9/19/2024,3:59:35
12678,12678,299.44,30.1,110.39,4904.76,331.15,1027.51,13.743,89.89,167.12,79.58,142.7,54.7,231.61,-112.5,1,1,6,52,30,1200,500,9/19/2024,3:59:47
12679,12679,302.15,30.4,110.76,4889.75,331.15,1030.8,13.519,89.89,167.12,79.58,142.6,53.7,231.61,-112.5,1,1,6,52,30,1200,500,9/19/2024,3:59:59
12680,12680,302.29,30.6,110.39,4927.26,331.15,1041.26,14.004,89.89,167.12,79.58,143,52.7,231.61,-112.5,1,1,6,52,30,1200,500,9/19/2024,4:00:11
12681,12681,301.05,30.3,110.39,4922.26,331.15,1049.16,14.004,89.89,167.12,79.58,142.7,51.7,231.61,-112.5,1,1,6,52,30,1200,500,9/19/2024,4:00:23
12682,12682,301.51,30.2,110.93,4941.01,331.15,1045.86,13.183,89.89,167.12,81.37,142.8,50.7,231.61,-112.5,1,1,6,69,30,1200,500,9/19/2024,4:00:35
12683,12683,308.86,30.2,110.67,4927.26,331.15,1033.98,13.668,89.89,167.12,81.37,143.3,49.7,231.61,-112.5,1,1,6,69,30,1200,500,9/19/2024,4:00:46
12684,12684,308.79,30.4,110.41,4911.02,332.48,1034.45,14.079,89.89,167.12,81.37,142.3,48.7,231.61,-112.5,1,1,6,69,30,1200,500,9/19/2024,4:00:58
12685,12685,302.27,30.3,110.53,4912.26,330.49,1034.88,14.154,89.89,167.12,81.37,142.6,47.7,231.61,-112.5,1,1,6,69,30,1200,500,9/19/2024,4:01:11
12686,12686,298.25,30.5,110.41,4904.76,330.49,1024.06,13.631,89.89,167.12,81.37,142.4,46.7,231.61,-112.5,1,1,6,69,30,1200,500,9/19/2024,4:01:23
12687,12687,294.42,30.4,110.67,4886.01,331.82,1014.6,13.183,89.89,167.12,81.37,141.9,45.7,231.61,-112.5,1,1,6,69,30,1200,500,9/19/2024,4:01:35
12688,12688,293.92,30.7,110.61,4913.51,331.82,1012.71,14.116,89.89,167.12,81.37,142.3,44.7,231.61,-112.5,1,1,6,69,30,1200,500,9/19/2024,4:01:48
12689,12689,292.24,30.4,110.84,4899.76,331.82,1021.87,14.303,89.89,167.12,81.37,142.1,43.7,231.61,-112.5,1,1,6,76,30,1200,500,9/19/2024,4:02:00
12690,12690,287.62,30.6,110.5,4918.51,332.48,1016.98,14.004,89.89,167.12,81.37,142.1,42.7,231.61,-112.5,1,1,6,76,30,1200,500,9/19/2024,4:02:13
12691,12691,283.71,30.5,110.56,4882.25,330.49,1014.08,13.257,89.89,167.12,81.37,142.3,41.7,231.61,-112.5,1,1,6,76,30,1200,500,9/19/2024,4:02:26
12692,12692,282.56,30.7,110.24,4906.01,330.48,997.22,13.817,89.89,167.12,81.37,142.3,40.7,231.61,-112.5,1,1,6,76,30,1200,500,9/19/2024,4:02:39
12693,12693,282.61,30.7,110.47,4888.51,331.15,991.07,13.817,89.89,167.12,84.06,143.2,39.7,231.61,-112.5,1,1,6,76,30,1200,500,9/19/2024,4:02:52
12694,12694,282.01,30.6,110.36,4866.01,331.15,986.42,13.519,89.89,167.12,84.06,142.1,38.7,231.61,-112.5,1,1,6,76,30,1200,500,9/19/2024,4:03:05
12695,12695,278.96,30.3,110.5,4879.76,331.15,993.99,13.295,89.89,167.12,84.06,142.4,37.7,231.61,-112.5,1,1,6,76,30,1200,500,9/19/2024,4:03:18
12696,12696,283.09,30.4,110.44,4868.51,331.15,999.53,13.817,89.89,167.12,84.06,142.3,36.7,231.61,-112.5,1,1,6,55,30,1200,500,9/19/2024,4:03:30
12697,12697,283.75,30.3,110.5,4883.52,331.15,1012.73,13.369,89.89,167.12,84.06,142.1,35.7,231.61,-112.5,1,1,6,55,30,1200,500,9/19/2024,4:03:43
12698,12698,281.3,30.4,110.27,4882.25,331.82,1002.33,13.407,89.89,167.12,84.06,141.8,34.7,231.61,-112.5,1,1,6,55,30,1200,500,9/19/2024,4:03:56
12699,12699,279.68,30.5,110.39,4909.75,331.15,1018.09,13.332,89.89,167.12,77.58,142.4,33.7,231.61,-112.5,1,1,6,55,30,1200,500,9/19/2024,4:04:09
12700,12700,279.04,30.6,110.56,4906.01,331.82,1019.56,13.295,89.89,167.12,77.58,142.1,32.7,231.61,-112.5,1,1,6,55,30,1200,500,9/19/2024,4:04:22
12701,12701,276.16,32.4,110.41,4899.76,331.15,1010.66,13.22,89.89,167.12,77.58,141.7,31.7,231.61,-112.5,1,1,6,55,30,1200,500,9/19/2024,4:04:39
12702,12702,237.45,30.6,110.53,4854.76,331.15,978.54,13.183,89.89,167.12,77.58,141.9,30.7,231.61,-112.5,1,1,6,45,30,1200,500,9/19/2024,4:04:55
12703,12703,236.78,30.5,110.47,4807.26,331.82,934.4,13.108,89.89,167.12,84.27,142.9,29.7,231.61,-112.5,1,1,6,45,30,1200,500,9/19/2024,4:05:10
12704,12704,261.14,29.7,110.3,4797.26,331.82,923.01,12.847,90.48,166.77,84.27,143.7,28.7,231.61,-112.5,1,1,6,45,30,1200,500,9/19/2024,4:05:21
12705,12705,289.65,30.3,110.41,4824.76,331.15,952.2,13.444,90.48,166.77,84.27,142.3,27.7,231.61,-112.5,1,1,6,45,30,1200,500,9/19/2024,4:05:35
12706,12706,286.19,30,110.41,4824.76,331.82,952.15,13.22,90.48,166.77,84.27,142.2,26.7,231.61,-112.5,1,1,6,45,30,1200,500,9/19/2024,4:05:48
12707,12707,269.96,30.4,110.56,4848.5,331.15,960.46,13.444,90.48,166.77,84.27,141.9,25.7,231.61,-112.5,1,1,6,45,30,1200,500,9/19/2024,4:06:02
12708,12708,268.09,30.4,110.5,4871.01,331.82,975,14.042,90.48,166.77,76.25,141.8,24.7,231.61,-112.5,1,1,6,45,30,1200,500,9/19/2024,4:06:16
12709,12709,261.44,30,110.61,4879.76,331.82,989.15,13.22,90.48,166.77,76.25,142.2,23.7,231.61,-112.5,1,1,6,45,30,1200,500,9/19/2024,4:06:29
12710,12710,274.91,29.9,110.44,4888.51,331.15,997.96,14.079,90.48,166.77,76.25,142,22.7,231.61,-112.5,1,1,6,39,30,1200,500,9/19/2024,4:06:42
12711,12711,280.47,30,110.27,4909.75,331.15,1009.23,13.332,90.48,166.77,76.25,142.1,21.7,231.61,-112.5,1,1,6,39,30,1200,500,9/19/2024,4:06:55
12712,12712,284.92,29.9,110.56,4929.75,331.15,1020.35,14.378,90.48,166.77,76.25,142.2,20.7,231.61,-112.5,1,1,6,39,30,1200,500,9/19/2024,4:07:07
12713,12713,294.38,29.8,110.61,4918.51,331.82,1028.61,13.108,90.48,166.77,76.25,142.1,19.7,231.61,-112.5,1,1,6,39,30,1200,500,9/19/2024,4:07:19
12714,12714,305.09,29.7,110.44,4919.76,331.15,1045.34,13.407,90.48,166.77,78.47,142.6,18.7,231.61,-112.5,1,1,6,39,30,1200,500,9/19/2024,4:07:31
12715,12715,319.04,29.4,110.61,4937.25,331.15,1065.53,13.892,90.48,166.77,78.47,142.3,17.7,231.61,-112.5,1,1,6,39,30,1200,500,9/19/2024,4:07:42
12716,12716,334.91,29.4,110.73,4949.76,331.15,1082.44,14.004,90.48,166.77,78.47,142.5,16.7,231.61,-112.5,1,1,6,39,30,1200,500,9/19/2024,4:07:52
12717,12717,344.45,29.5,110.21,4992.27,331.15,1114.75,14.004,90.48,166.77,78.47,143.6,15.7,231.61,-112.5,1,1,6,39,30,1200,500,9/19/2024,4:08:02
12718,12718,354.29,29.4,110.47,5031.01,331.15,1125.28,14.079,90.48,166.77,78.47,142.3,14.7,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:08:12
12719,12719,365.49,29.6,110.5,4986.02,330.48,1117.86,13.556,90.48,166.77,78.47,142.3,13.7,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:08:21
12720,12720,371.31,29.8,110.41,4974.76,330.49,1109.2,13.257,90.48,166.77,75.36,142.4,12.7,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:08:31
12721,12721,372.54,30,110.27,5003.51,331.82,1111.91,14.116,90.48,166.77,75.36,141.8,11.7,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:08:41
12722,12722,369.64,29.9,110.36,5001.01,331.82,1122.89,14.042,90.48,166.77,75.36,142.1,10.7,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:08:51
12723,12723,368.19,30.2,110.36,4992.27,331.15,1116.49,13.631,90.48,166.77,75.36,141.5,9.7,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:09:01
12724,12724,367.69,30.9,110.5,4976.01,331.15,1110.58,13.071,90.48,166.77,75.36,141.4,8.7,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:09:12
12725,12725,84.22,24.3,31.51,3688.5,331.15,-185.28,9.336,90.48,166.77,81.16,156.9,102,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:12:26
12726,12726,227.25,27.2,110.47,3853.51,331.82,-13.7,13.257,90.48,166.77,81.16,147.5,101.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:12:33
12727,12727,412.33,29.6,110.21,4229.76,331.82,358.53,14.602,90.48,166.77,81.16,146.3,100.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:12:42
12728,12728,447.35,29.8,110.73,4597.25,331.15,735.91,14.303,90.48,166.77,81.16,145.7,99.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:12:55
12729,12729,367.8,28.1,110.3,4766.01,331.15,856.79,13.407,90.48,166.77,81.16,147.4,98.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:13:07
12730,12730,300.89,27.3,110.36,4828.5,331.15,947.78,12.772,90.48,166.77,81.16,147.1,97.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:13:18
12731,12731,335.85,27.6,110.33,4834.75,330.48,970.24,12.847,90.48,166.77,81.16,146.6,96.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:13:28
12732,12732,352.52,30.4,110.79,4856,331.81,998.42,13.071,90.48,166.77,81.16,146,95.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:13:39
12733,12733,352.27,30.5,110.33,4854.76,331.15,995.4,12.66,90.48,166.77,81.16,145.5,94.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:13:51
12734,12734,318.23,29.4,110.44,4834.75,331.15,967.9,12.772,90.48,166.77,81.16,145.2,93.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:14:01
12735,12735,338.91,29.7,110.36,4831.01,331.15,962.11,12.959,90.48,166.77,81.16,146.1,92.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:14:11
12736,12736,363.22,29.3,110.3,4854.76,331.82,984.51,13.183,90.48,166.77,81.16,145.7,91.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:14:21
12737,12737,377.76,29.5,110.33,4882.25,331.15,1006.1,13.108,90.48,166.77,81.16,145.2,90.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:14:30
12738,12738,376.73,29.7,110.44,4912.26,331.15,1031.58,13.817,90.48,166.77,81.16,144.6,89.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:14:41
12739,12739,362.74,29.4,110.53,4911.02,331.82,1047.72,13.295,90.48,166.77,81.16,144.5,88.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:14:50
12740,12740,366.17,29.7,110.39,4976.01,331.15,1061.84,12.847,90.48,166.77,81.16,145.1,87.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:15:00
12741,12741,372.91,29.7,110.44,4929.75,331.81,1064.18,14.116,90.48,166.77,81.16,144.4,86.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:15:10
12742,12742,374.5,29.6,110.39,4942.26,330.48,1069.54,13.332,90.48,166.77,80.69,144.8,85.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:15:19
12743,12743,380.05,29.8,110.44,4958.52,330.48,1076.18,13.481,90.48,166.77,80.69,144.1,84.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:15:29
12744,12744,381.84,29.9,110.53,4981.01,331.82,1093.08,13.407,90.48,166.77,80.69,143.7,83.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:15:38
12745,12745,379.41,29.9,110.39,4972.27,330.49,1102.21,13.93,89.5,166.4,80.69,144.6,82.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:15:48
12746,12746,381.52,30,110.47,4982.26,331.15,1103.62,13.631,89.5,166.4,80.69,144.3,81.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:15:57
12747,12747,382.26,30.4,110.5,4962.26,331.15,1096.94,13.295,89.5,166.4,80.69,143.1,80.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:16:07
12748,12748,376.64,30.4,110.3,4963.51,331.82,1113.15,13.556,89.5,166.4,80.69,144,79.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:16:17
12749,12749,360.45,30,110.33,4969.76,331.15,1083.08,13.444,89.5,166.4,77.58,143.7,78.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:16:27
12750,12750,369.37,30.4,110.5,4967.26,330.49,1082.41,14.228,89.5,166.4,77.58,143.4,77.3,231.61,-112.5,1,1,6,18,30,1200,500,9/19/2024,4:16:36
